bhk,area,locality,price,status1,status2
2,950,Bund Garden Road,45000,Unfurnished,3 floor 2 BHK
4,1400,Kalyani Nagar,70000,Semi-Furnished,3 floor
2,850,"Ravet, Pimpri Chinchwad",15000, Ravet," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""1 Bath"
1,927,Alandi Road,13000,Unfurnished,11 floor Pethkar SiyonaUltra spacious
1,1000,"Kalewadi Phata, Chinchwad",10000," Kharadi 1375 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
2,1200,,13580," Ambedkar Nagar-Kondhwa 930 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
2,1800,Hadapsar,16000," Sus 1176 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,1250,"Chinchwad Gaon, Pimpri Chinchwad",13000," Dhanori 1020 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
1,1450,Dhanori,12000,Unfurnished,3 floor
2,1048,Hinjewadi Phase 2,19000," Baner road 1650 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,400,,15500,Unfurnished,4 floor
3,930,Baner road,35000," Hadapsar 850 sqft"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
2,650,Undri,12000,Unfurnished,Ground floor
2,1167,Narhe,13500," Undri 832 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
4,186,"Kiwale, Dehu Road",35000,Furnished,4 floor
3,1150,Erandwane,30000,Furnished,4 floor 3 BHK
3,1335,Hinjewadi,24000," Pimpri Chinchwad 1100 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
3,570,"Alandi, Kelgaon",35000," Hinjewadi"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
2,1200,"Pimpri, Pimpri Chinchwad",19000,Furnished,5 floor
2,1150,Kothrud,19000," Viman Nagar 1550 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,450,,16000," Pimpri Chinchwad 909 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
1,550,Dhankawadi,9000," Kothrud 800 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
2,1560,Hinjewadi,13500,Unfurnished,"7 floor Interested People can contact."" itemprop=""description""/>
<meta content=""/propertyDetails/3-BHK-1365-Sq-ft-Multistorey-Apartment-FOR-Rent-Ambegaon-Budruk-in-Pune&amp;id=4d423439363335383832"" itemprop=""url""/>
<div itemprop=""address"" itemscope="""" itemtype=""//schema.org/PostalAddress"">
<meta content=""Ambegaon Budruk"" itemprop=""addressLocality""/>
<input content=""IN"" itemprop=""addressCountry"" type=""hidden"">
</input></div>
<meta content=""3"" itemprop=""numberOfRooms""/>
<meta content=""1365 FTK "" itemprop=""floorSize""/>
</div>"
3,1214,,40000," Hinjewadi Phase 1 846 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
1,1169,Dighi,10000,Unfurnished,Ground floor 2 BHK
2,950,Chikhali,13500,Semi-Furnished,1 floor Here is a comparatively affordable 1 BHK flat available on rent one of the developing suburbs of Pune
2,744,"Vishal Nagar, Pimpri Chinchwad",21000, Wakad," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""5 Bath"
2,1000,Amanora Park Town,21000," Mangaldas Road 1555 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,570,Viman Nagar,22000," Balewadi 2200 sqft"" itemprop=""name""/>
<meta content=""5 Bath",Semi-Furnished
2,1370,,16000,Unfurnished,1 floor
2,615,Wagholi,11000,Unfurnished,3 floor 2 BHK
3,1304,Koregaon Park,65000,Semi-Furnished,3 floor
2,630,Magarpatta City,25000, Ravet," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""1 Bath"
2,1000,"Pimple Nilakh, Pimpri Chinchwad",45000,Unfurnished,11 floor Pethkar SiyonaUltra spacious
2,475,Pirangut,6000," Kharadi 1375 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
3,611,Mahalunge,15000," Ambedkar Nagar-Kondhwa 930 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
2,900,Narhe,10000," Sus 1176 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,640,Bavdhan,50000," Dhanori 1020 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,850,,28000,Unfurnished,3 floor
2,ft,Amanora Park Town,35000," Baner road 1650 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
3,900,Undri,20000,Unfurnished,4 floor
1,872,Koregaon Park,18500," Hadapsar 850 sqft"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
1,540,Wadgaon Sheri,15000,Unfurnished,Ground floor
3,688,"Wakad, Pimpri Chinchwad",32000," Undri 832 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
1,1480,,9500,Furnished,4 floor
2,855,Kharadi,32000,Furnished,4 floor 3 BHK
3,750,Ambedkar Nagar-Kondhwa,22500," Pimpri Chinchwad 1100 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
